1.125495684901736482e+01 1.430178239070295554e+01 1.280560285851475122e+01
1.910343067493765190e+01 2.677706888044718170e+01 3.338827751616242523e+01
8.940936247982032015e+00 1.524447725473350879e+01 3.969846021527697388e+01
1.062001270877950532e+01 9.505395552683099325e+00 2.693280567197582798e+01
8.974275100462900667e+00 1.174554559097219020e+01 4.743858444066823665e+01
1.299763636903595376e+01 8.018293075149928839e+00 1.241866854223920846e+01
5.225397937788487823e+00 8.134690589370954683e+00 2.627350641482093607e+01
2.755882032327940934e+01 4.636024448030993739e+01 2.798642334760705452e+01
1.805690173365026041e+01 3.886642893682090261e+01 5.138173138546286367e+01
1.332014214663526985e+01 9.508516183262816668e+00 2.866104618311760532e+01
1.652809846289888540e+01 3.804039083576725488e+01 1.041906422345643968e+01
5.889109474326173377e+00 3.399303337336545638e+01 1.788547416085535957e+01
2.168181168520334623e+01 1.262469260874161670e+01 1.507471691254701440e+01
6.465718160991457353e+00 5.369286556003631716e+01 4.614861672649468005e+01
6.866118481592446088e+00 1.741306560610675902e+01 1.842813308627851043e+01
2.867328050221952651e+01 7.922638872330557547e+01 2.709708960887623164e+01
9.090400683158279094e+00 2.062523012680675549e+01 3.606317511067334891e+01
7.895892994800322029e+00 1.947644106151086518e+01 1.150478599094634546e+01
9.566789247472677005e+00 1.173528304885603646e+01 2.464852713695080055e+01
1.040223866279602660e+01 3.365212750769261874e+01 1.267957803081743862e+01
